id,title,year,rating,duration,description,genre_id
1,The Shawshank Redemption,1994,9.3,142,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,7
2,The Godfather,1972,9.2,175,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,6
3,The Dark Knight,2008,9.1,152,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",1
4,The Godfather Part II,1974,9.0,202,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",6
5,12 Angry Men,1957,9.0,96,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,6
6,The Lord of the Rings: The Return of the King,2003,9.0,201,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2
7,Schindler's List,1994,9.0,195,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",4
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2
9,Pulp Fiction,1994,8.8,154,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",6
10,"The Good, the Bad and the Ugly",1967,8.8,178,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,2
11,The Lord of the Rings: The Two Towers,2002,8.8,179,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2
12,Forrest Gump,1994,8.8,142,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",7
13,Fight Club,1999,8.8,139,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,6
14,Inception,2010,8.8,148,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",1
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",1
16,The Matrix,1999,8.7,136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1
17,GoodFellas,1990,8.7,145,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",4
18,Interstellar,2014,8.7,169,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2
19,One Flew Over the Cuckoo's Nest,1975,8.6,133,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",7
20,Seven,1995,8.6,127,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,6
21,It's a Wonderful Life,1946,8.6,130,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,7
22,The Silence of the Lambs,1991,8.6,118,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",6
