movie_id,actor_id,role_name
1,532,Unknown
1,399,Unknown
1,61,Unknown
2,361,Unknown
2,9,Unknown
2,237,Unknown
3,99,Unknown
3,210,Unknown
3,2,Unknown
4,9,Unknown
4,457,Unknown
4,459,Unknown
5,212,Unknown
5,321,Unknown
5,362,Unknown
6,149,Unknown
6,560,Unknown
6,222,Unknown
7,328,Unknown
7,441,Unknown
7,52,Unknown
8,149,Unknown
8,222,Unknown
8,416,Unknown
9,280,Unknown
9,555,Unknown
9,483,Unknown
10,111,Unknown
10,148,Unknown
10,323,Unknown
11,149,Unknown
11,222,Unknown
11,560,Unknown
12,538,Unknown
12,465,Unknown
12,186,Unknown
13,65,Unknown
13,143,Unknown
13,378,Unknown
14,325,Unknown
14,287,Unknown
14,156,Unknown
15,358,Unknown
15,207,Unknown
15,75,Unknown
16,299,Unknown
16,318,Unknown
16,77,Unknown
17,457,Unknown
17,445,Unknown
17,271,Unknown
18,373,Unknown
18,30,Unknown
18,262,Unknown
19,231,Unknown
19,338,Unknown
19,383,Unknown
20,399,Unknown
20,65,Unknown
20,305,Unknown
21,242,Unknown
21,136,Unknown
21,335,Unknown
22,268,Unknown
22,36,Unknown
22,489,Unknown
23,538,Unknown
23,371,Unknown
23,543,Unknown
24,550,Unknown
24,520,Unknown
24,300,Unknown
25,538,Unknown
25,386,Unknown
25,128,Unknown
26,17,Unknown
26,320,Unknown
26,368,Unknown
27,463,Unknown
27,409,Unknown
27,195,Unknown
28,43,Unknown
28,334,Unknown
28,141,Unknown
29,388,Unknown
29,102,Unknown
29,319,Unknown
30,358,Unknown
30,207,Unknown
30,75,Unknown
31,567,Unknown
31,21,Unknown
31,393,Unknown
32,396,Unknown
32,469,Unknown
32,352,Unknown
33,472,Unknown
33,267,Unknown
33,112,Unknown
34,4,Unknown
34,527,Unknown
34,176,Unknown
35,506,Unknown
35,322,Unknown
35,95,Unknown
36,551,Unknown
36,45,Unknown
36,6,Unknown
37,37,Unknown
37,245,Unknown
37,557,Unknown
38,372,Unknown
38,261,Unknown
38,238,Unknown
39,525,Unknown
39,7,Unknown
39,498,Unknown
40,325,Unknown
40,371,Unknown
40,231,Unknown
41,395,Unknown
41,228,Unknown
41,381,Unknown
42,99,Unknown
42,218,Unknown
42,488,Unknown
43,143,Unknown
43,141,Unknown
43,57,Unknown
44,255,Unknown
44,185,Unknown
44,404,Unknown
45,495,Unknown
45,205,Unknown
45,67,Unknown
46,437,Unknown
46,160,Unknown
46,39,Unknown
47,220,Unknown
47,225,Unknown
47,425,Unknown
48,179,Unknown
48,415,Unknown
48,31,Unknown
49,305,Unknown
49,182,Unknown
49,88,Unknown
50,244,Unknown
50,100,Unknown
50,325,Unknown
51,503,Unknown
51,544,Unknown
51,276,Unknown
52,242,Unknown
52,198,Unknown
52,570,Unknown
53,82,Unknown
53,427,Unknown
53,211,Unknown
54,212,Unknown
54,81,Unknown
54,110,Unknown
55,82,Unknown
55,566,Unknown
55,174,Unknown
56,363,Unknown
56,361,Unknown
56,459,Unknown
57,51,Unknown
57,150,Unknown
57,257,Unknown
58,203,Unknown
58,77,Unknown
58,270,Unknown
59,534,Unknown
59,590,Unknown
59,447,Unknown
60,458,Unknown
60,98,Unknown
60,359,Unknown
61,207,Unknown
61,295,Unknown
61,424,Unknown
62,554,Unknown
62,364,Unknown
62,493,Unknown
63,495,Unknown
63,236,Unknown
63,205,Unknown
64,575,Unknown
64,197,Unknown
64,164,Unknown
65,552,Unknown
65,360,Unknown
65,83,Unknown
66,311,Unknown
66,442,Unknown
66,3,Unknown
67,231,Unknown
67,497,Unknown
67,123,Unknown
68,82,Unknown
68,427,Unknown
68,232,Unknown
69,65,Unknown
69,132,Unknown
69,147,Unknown
70,503,Unknown
70,384,Unknown
70,76,Unknown
71,562,Unknown
71,379,Unknown
71,24,Unknown
72,550,Unknown
72,582,Unknown
72,525,Unknown
73,458,Unknown
73,97,Unknown
73,359,Unknown
74,464,Unknown
74,371,Unknown
74,50,Unknown
75,99,Unknown
75,539,Unknown
75,30,Unknown
76,35,Unknown
76,183,Unknown
76,55,Unknown
77,170,Unknown
77,541,Unknown
77,151,Unknown
78,538,Unknown
78,530,Unknown
78,134,Unknown
79,477,Unknown
79,398,Unknown
79,476,Unknown
80,293,Unknown
80,213,Unknown
80,313,Unknown
81,380,Unknown
81,507,Unknown
81,420,Unknown
82,585,Unknown
82,581,Unknown
82,586,Unknown
83,96,Unknown
83,579,Unknown
83,294,Unknown
84,434,Unknown
84,190,Unknown
84,512,Unknown
85,1,Unknown
85,345,Unknown
85,397,Unknown
86,305,Unknown
86,32,Unknown
86,529,Unknown
87,588,Unknown
87,580,Unknown
87,62,Unknown
88,188,Unknown
88,135,Unknown
88,130,Unknown
89,267,Unknown
89,457,Unknown
89,589,Unknown
90,457,Unknown
90,243,Unknown
90,152,Unknown
91,358,Unknown
91,207,Unknown
91,75,Unknown
92,13,Unknown
92,412,Unknown
92,336,Unknown
93,538,Unknown
93,530,Unknown
93,266,Unknown
94,153,Unknown
94,246,Unknown
94,260,Unknown
95,520,Unknown
95,410,Unknown
95,499,Unknown
96,346,Unknown
96,526,Unknown
96,33,Unknown
97,339,Unknown
97,401,Unknown
97,376,Unknown
98,263,Unknown
98,297,Unknown
98,545,Unknown
99,230,Unknown
99,501,Unknown
99,180,Unknown
100,433,Unknown
100,12,Unknown
100,38,Unknown
101,9,Unknown
101,457,Unknown
101,556,Unknown
102,9,Unknown
102,394,Unknown
102,515,Unknown
103,209,Unknown
103,533,Unknown
103,392,Unknown
104,301,Unknown
104,184,Unknown
104,576,Unknown
105,140,Unknown
105,285,Unknown
105,279,Unknown
106,180,Unknown
106,48,Unknown
106,142,Unknown
107,78,Unknown
107,167,Unknown
107,240,Unknown
108,124,Unknown
108,1,Unknown
108,535,Unknown
109,374,Unknown
109,439,Unknown
109,564,Unknown
110,432,Unknown
110,155,Unknown
110,224,Unknown
111,44,Unknown
111,370,Unknown
111,468,Unknown
112,428,Unknown
112,324,Unknown
112,486,Unknown
113,242,Unknown
113,308,Unknown
113,47,Unknown
114,417,Unknown
114,286,Unknown
114,137,Unknown
115,70,Unknown
115,10,Unknown
115,63,Unknown
116,200,Unknown
116,278,Unknown
116,178,Unknown
117,207,Unknown
117,491,Unknown
117,20,Unknown
118,426,Unknown
118,460,Unknown
118,462,Unknown
119,348,Unknown
119,419,Unknown
119,382,Unknown
120,455,Unknown
120,377,Unknown
120,505,Unknown
121,69,Unknown
121,18,Unknown
121,202,Unknown
122,129,Unknown
122,191,Unknown
122,121,Unknown
123,250,Unknown
123,65,Unknown
123,511,Unknown
124,325,Unknown
124,283,Unknown
124,351,Unknown
125,71,Unknown
125,16,Unknown
125,553,Unknown
126,263,Unknown
126,138,Unknown
126,317,Unknown
127,305,Unknown
127,472,Unknown
127,203,Unknown
128,1,Unknown
128,479,Unknown
128,171,Unknown
129,325,Unknown
129,158,Unknown
129,359,Unknown
130,315,Unknown
130,161,Unknown
130,329,Unknown
131,560,Unknown
131,347,Unknown
131,333,Unknown
132,107,Unknown
132,157,Unknown
132,371,Unknown
133,509,Unknown
133,72,Unknown
133,453,Unknown
134,474,Unknown
134,484,Unknown
134,241,Unknown
135,99,Unknown
135,385,Unknown
135,304,Unknown
136,480,Unknown
136,316,Unknown
136,258,Unknown
137,111,Unknown
137,323,Unknown
137,194,Unknown
138,331,Unknown
138,438,Unknown
138,326,Unknown
139,457,Unknown
139,268,Unknown
139,116,Unknown
140,354,Unknown
140,549,Unknown
140,230,Unknown
141,120,Unknown
141,423,Unknown
141,106,Unknown
142,36,Unknown
142,413,Unknown
142,357,Unknown
143,82,Unknown
143,139,Unknown
143,233,Unknown
144,56,Unknown
144,29,Unknown
144,192,Unknown
145,70,Unknown
145,206,Unknown
145,548,Unknown
146,525,Unknown
146,8,Unknown
146,264,Unknown
147,457,Unknown
147,496,Unknown
147,271,Unknown
148,314,Unknown
148,572,Unknown
148,302,Unknown
149,546,Unknown
149,251,Unknown
149,288,Unknown
150,218,Unknown
150,235,Unknown
150,565,Unknown
151,537,Unknown
151,260,Unknown
151,395,Unknown
152,555,Unknown
152,127,Unknown
152,125,Unknown
153,111,Unknown
153,187,Unknown
153,399,Unknown
154,227,Unknown
154,42,Unknown
154,494,Unknown
155,472,Unknown
155,138,Unknown
155,260,Unknown
156,89,Unknown
156,521,Unknown
156,524,Unknown
157,220,Unknown
157,569,Unknown
157,531,Unknown
158,11,Unknown
158,154,Unknown
158,15,Unknown
159,249,Unknown
159,228,Unknown
159,443,Unknown
160,550,Unknown
160,144,Unknown
160,525,Unknown
161,36,Unknown
161,276,Unknown
161,28,Unknown
162,514,Unknown
162,239,Unknown
162,450,Unknown
163,199,Unknown
163,274,Unknown
163,163,Unknown
164,587,Unknown
164,478,Unknown
164,584,Unknown
165,446,Unknown
165,198,Unknown
165,456,Unknown
166,449,Unknown
166,504,Unknown
166,418,Unknown
167,108,Unknown
167,568,Unknown
167,528,Unknown
168,248,Unknown
168,131,Unknown
168,407,Unknown
169,231,Unknown
169,172,Unknown
169,277,Unknown
170,340,Unknown
170,14,Unknown
170,247,Unknown
171,219,Unknown
171,404,Unknown
171,470,Unknown
172,325,Unknown
172,538,Unknown
172,105,Unknown
173,23,Unknown
173,59,Unknown
173,327,Unknown
174,168,Unknown
174,169,Unknown
174,284,Unknown
175,175,Unknown
175,577,Unknown
175,481,Unknown
176,550,Unknown
176,343,Unknown
176,367,Unknown
177,464,Unknown
177,461,Unknown
177,165,Unknown
178,575,Unknown
178,12,Unknown
178,229,Unknown
179,122,Unknown
179,159,Unknown
179,471,Unknown
180,342,Unknown
180,429,Unknown
180,312,Unknown
181,475,Unknown
181,356,Unknown
181,419,Unknown
182,87,Unknown
182,229,Unknown
182,510,Unknown
183,539,Unknown
183,408,Unknown
183,272,Unknown
184,574,Unknown
184,175,Unknown
184,513,Unknown
185,214,Unknown
185,111,Unknown
185,399,Unknown
186,26,Unknown
186,482,Unknown
186,341,Unknown
187,539,Unknown
187,86,Unknown
187,406,Unknown
188,448,Unknown
188,22,Unknown
188,46,Unknown
189,457,Unknown
189,80,Unknown
189,271,Unknown
190,215,Unknown
190,411,Unknown
190,91,Unknown
191,64,Unknown
191,337,Unknown
191,422,Unknown
192,111,Unknown
192,49,Unknown
192,101,Unknown
193,93,Unknown
193,391,Unknown
193,387,Unknown
194,441,Unknown
194,170,Unknown
194,369,Unknown
195,506,Unknown
195,310,Unknown
195,309,Unknown
196,165,Unknown
196,292,Unknown
196,25,Unknown
197,252,Unknown
197,193,Unknown
197,103,Unknown
198,207,Unknown
198,473,Unknown
198,492,Unknown
199,60,Unknown
199,275,Unknown
199,365,Unknown
200,50,Unknown
200,466,Unknown
200,405,Unknown
201,540,Unknown
201,590,Unknown
201,53,Unknown
202,467,Unknown
202,462,Unknown
202,451,Unknown
203,371,Unknown
203,99,Unknown
203,282,Unknown
204,120,Unknown
204,430,Unknown
204,34,Unknown
205,126,Unknown
205,366,Unknown
205,402,Unknown
206,82,Unknown
206,344,Unknown
206,542,Unknown
207,74,Unknown
207,298,Unknown
207,269,Unknown
208,403,Unknown
208,523,Unknown
208,303,Unknown
209,548,Unknown
209,436,Unknown
209,162,Unknown
210,457,Unknown
210,105,Unknown
210,273,Unknown
211,583,Unknown
211,84,Unknown
211,435,Unknown
212,74,Unknown
212,355,Unknown
212,196,Unknown
213,218,Unknown
213,421,Unknown
213,117,Unknown
214,517,Unknown
214,522,Unknown
214,73,Unknown
215,396,Unknown
215,485,Unknown
215,41,Unknown
216,281,Unknown
216,189,Unknown
216,416,Unknown
217,242,Unknown
217,253,Unknown
217,109,Unknown
218,306,Unknown
218,500,Unknown
218,547,Unknown
219,92,Unknown
219,90,Unknown
219,518,Unknown
220,563,Unknown
220,217,Unknown
220,487,Unknown
221,359,Unknown
221,390,Unknown
221,440,Unknown
222,361,Unknown
222,296,Unknown
222,321,Unknown
223,559,Unknown
223,58,Unknown
223,226,Unknown
224,291,Unknown
224,104,Unknown
224,145,Unknown
225,43,Unknown
225,334,Unknown
225,384,Unknown
226,561,Unknown
226,40,Unknown
226,349,Unknown
227,516,Unknown
227,330,Unknown
227,350,Unknown
228,417,Unknown
228,286,Unknown
228,19,Unknown
229,400,Unknown
229,118,Unknown
229,181,Unknown
230,256,Unknown
230,275,Unknown
230,290,Unknown
231,165,Unknown
231,292,Unknown
231,558,Unknown
232,115,Unknown
232,483,Unknown
232,216,Unknown
233,68,Unknown
233,234,Unknown
233,490,Unknown
234,452,Unknown
234,265,Unknown
234,79,Unknown
235,375,Unknown
235,201,Unknown
235,54,Unknown
236,133,Unknown
236,508,Unknown
236,267,Unknown
237,85,Unknown
237,536,Unknown
237,573,Unknown
238,153,Unknown
238,375,Unknown
238,332,Unknown
239,146,Unknown
239,208,Unknown
239,259,Unknown
240,119,Unknown
240,98,Unknown
240,414,Unknown
241,289,Unknown
241,177,Unknown
241,444,Unknown
242,571,Unknown
242,454,Unknown
242,114,Unknown
243,66,Unknown
243,254,Unknown
243,578,Unknown
244,591,Unknown
244,173,Unknown
244,221,Unknown
245,353,Unknown
245,166,Unknown
245,27,Unknown
246,389,Unknown
246,223,Unknown
246,113,Unknown
247,307,Unknown
247,204,Unknown
247,94,Unknown
248,172,Unknown
248,575,Unknown
248,431,Unknown
249,5,Unknown
249,502,Unknown
249,519,Unknown
